iter	Passed	Remaining
0	133	133175
1	134	66903
2	134	44789
3	135	33711
4	136	27069
5	136	22644
6	137	19479
7	137	17104
8	138	15260
9	139	13776
10	139	12567
11	140	11570
12	141	10713
13	141	9978
14	142	9336
15	142	8774
16	143	8278
17	143	7837
18	144	7459
19	145	7108
20	145	6789
21	146	6503
22	146	6242
23	147	5997
24	148	5778
25	148	5571
26	149	5387
27	150	5214
28	150	5046
29	151	4902
30	152	4780
31	153	4645
32	154	4519
33	154	4400
34	155	4286
35	156	4181
36	156	4080
37	157	3989
38	158	3913
39	159	3828
40	160	3748
41	160	3669
42	161	3593
43	162	3527
44	162	3458
45	163	3393
46	164	3333
47	165	3272
48	165	3213
49	166	3155
50	166	3102
51	167	3049
52	167	2998
53	168	2950
54	168	2903
55	169	2859
56	170	2816
57	170	2774
58	171	2734
59	171	2694
60	172	2656
61	173	2620
62	173	2584
63	174	2549
64	174	2516
65	175	2482
66	176	2452
67	176	2422
68	177	2393
69	177	2363
70	178	2335
71	179	2307
72	179	2279
73	180	2252
74	180	2227
75	181	2202
76	181	2180
77	182	2156
78	183	2133
79	183	2110
80	184	2088
81	184	2067
82	184	2043
83	185	2022
84	186	2002
85	186	1983
86	187	1965
87	187	1946
88	188	1929
89	189	1912
90	189	1894
91	190	1877
92	190	1860
93	191	1844
94	191	1828
95	192	1812
96	193	1796
97	193	1782
98	194	1767
99	194	1754
100	195	1740
101	196	1726
102	196	1712
103	197	1698
104	197	1685
105	198	1671
106	198	1659
107	199	1646
108	200	1635
109	200	1625
110	201	1614
111	202	1603
112	202	1591
113	203	1579
114	203	1568
115	204	1557
116	204	1545
117	205	1534
118	205	1523
119	206	1513
120	207	1504
121	207	1493
122	208	1485
123	208	1475
124	209	1466
125	210	1456
126	210	1447
127	211	1438
128	211	1429
129	212	1421
130	212	1412
131	213	1404
132	214	1397
133	214	1389
134	215	1382
135	216	1374
136	216	1366
137	217	1359
138	218	1351
139	218	1344
140	219	1337
141	219	1328
142	220	1323
143	221	1315
144	221	1308
145	222	1300
146	222	1293
147	223	1286
148	224	1280
149	224	1273
150	225	1266
151	225	1260
152	226	1254
153	227	1248
154	227	1242
155	228	1236
156	229	1230
157	230	1226
158	230	1220
159	231	1215
160	231	1208
161	232	1202
162	233	1197
163	233	1191
164	234	1186
165	235	1180
166	235	1174
167	236	1169
168	236	1163
169	237	1159
170	237	1153
171	238	1150
172	239	1146
173	240	1141
174	241	1136
175	241	1131
176	242	1127
177	243	1123
178	243	1118
179	244	1113
180	245	1108
181	245	1104
182	246	1099
183	246	1095
184	247	1090
185	248	1086
186	248	1081
187	249	1077
188	250	1074
189	251	1071
190	252	1067
191	252	1063
192	253	1059
193	253	1054
194	254	1050
195	254	1045
196	255	1041
197	256	1037
198	256	1033
199	257	1031
200	258	1028
201	259	1024
202	259	1020
203	260	1016
204	260	1011
205	261	1008
206	262	1004
207	262	1000
208	263	996
209	264	993
210	264	989
211	265	985
212	265	982
213	266	978
214	266	974
215	267	971
216	268	967
217	268	964
218	269	960
219	270	957
220	270	954
221	271	951
222	272	948
223	273	945
224	273	943
225	274	940
226	275	937
227	276	934
228	276	931
229	277	928
230	277	925
231	278	922
232	279	918
233	279	915
234	280	913
235	280	909
236	281	906
237	281	902
238	282	899
239	283	896
240	283	892
241	284	889
242	284	886
243	285	883
244	285	880
245	286	877
246	286	873
247	287	870
248	287	867
249	288	865
250	288	862
251	289	860
252	290	857
253	290	854
254	291	851
255	292	849
256	292	846
257	293	844
258	294	841
259	294	839
260	295	836
261	296	834
262	297	832
263	297	830
264	298	827
265	299	825
266	299	822
267	300	820
268	301	818
269	301	815
270	302	813
271	303	811
272	303	808
273	304	806
274	304	803
275	305	801
276	306	799
277	306	796
278	307	794
279	308	792
280	308	790
281	309	788
282	310	786
283	310	783
284	311	781
285	312	779
286	312	777
287	313	774
288	314	772
289	314	770
290	315	768
291	316	766
292	316	764
293	317	762
294	318	760
295	318	758
296	319	755
297	320	754
298	320	752
299	321	750
300	322	748
301	323	746
302	323	744
303	324	742
304	324	739
305	325	737
306	325	735
307	326	733
308	327	732
309	328	730
310	329	728
311	329	727
312	330	725
313	331	723
314	331	721
315	332	719
316	333	717
317	333	715
318	334	714
319	335	712
320	335	710
321	336	708
322	337	706
323	337	704
324	338	702
325	339	701
326	339	699
327	340	697
328	341	696
329	358	727
330	359	727
331	360	725
332	361	724
333	362	722
334	363	720
335	363	718
336	364	716
337	364	714
338	366	714
339	367	713
340	368	712
341	369	710
342	369	708
343	370	706
344	371	706
345	372	704
346	373	703
347	374	701
348	375	699
349	375	697
350	376	695
351	376	693
352	377	692
353	378	690
354	378	688
355	379	687
356	380	685
357	381	684
358	382	682
359	382	680
360	383	678
361	383	676
362	384	674
363	385	672
364	385	671
365	386	669
366	387	667
367	387	665
368	388	663
369	388	661
370	389	660
371	390	658
372	390	656
373	391	655
374	392	653
375	392	651
376	393	650
377	393	648
378	394	646
379	395	644
380	395	642
381	396	641
382	397	639
383	397	638
384	398	637
385	399	635
386	399	633
387	400	631
388	400	629
389	401	627
390	402	626
391	402	624
392	403	623
393	404	621
394	404	620
395	405	618
396	405	616
397	406	615
398	407	613
399	407	611
400	408	610
401	409	608
402	410	607
403	410	605
404	411	604
405	411	602
406	412	601
407	413	599
408	413	598
409	414	596
410	414	594
411	415	593
412	416	591
413	416	590
414	417	588
415	418	587
416	418	585
417	419	583
418	420	582
419	420	580
420	421	579
421	422	578
422	422	576
423	423	575
424	424	574
425	424	572
426	425	571
427	426	569
428	427	568
429	428	567
430	429	566
431	429	565
432	430	563
433	431	562
434	431	560
435	432	559
436	432	557
437	433	556
438	434	555
439	435	553
440	435	552
441	436	551
442	437	549
443	438	548
444	438	547
445	439	545
446	439	544
447	440	542
448	441	541
449	441	540
450	442	538
451	443	537
452	443	535
453	444	534
454	444	532
455	445	531
456	445	529
457	446	528
458	447	527
459	448	526
460	448	524
461	449	523
462	450	522
463	450	520
464	451	519
465	452	517
466	452	516
467	454	516
468	454	515
469	455	513
470	456	512
471	456	510
472	457	509
473	457	507
474	458	506
475	459	505
476	460	504
477	460	503
478	461	501
479	461	500
480	462	499
481	463	497
482	463	496
483	464	495
484	465	493
485	465	492
486	466	491
487	467	490
488	467	488
489	468	487
490	468	486
491	469	484
492	469	483
493	470	482
494	471	480
495	471	479
496	472	478
497	472	476
498	473	475
499	474	474
500	474	472
501	475	471
502	476	470
503	477	469
504	478	468
505	479	467
506	479	466
507	480	465
508	480	463
509	481	462
510	482	461
511	482	459
512	483	459
513	484	458
514	485	456
515	485	455
516	486	454
517	486	453
518	487	451
519	488	450
520	488	449
521	489	448
522	489	446
523	490	445
524	491	444
525	491	443
526	492	441
527	492	440
528	493	439
529	494	438
530	494	436
531	495	435
532	496	434
533	496	433
534	497	432
535	498	431
536	498	430
537	499	428
538	499	427
539	500	426
540	501	425
541	501	424
542	502	422
543	503	421
544	503	420
545	504	419
546	504	418
547	505	416
548	505	415
549	506	414
550	506	413
551	507	411
552	508	410
553	508	409
554	509	408
555	510	407
556	510	406
557	511	405
558	511	403
559	512	402
560	512	401
561	513	400
562	514	399
563	514	398
564	515	396
565	516	395
566	516	394
567	517	393
568	517	392
569	518	391
570	518	389
571	519	388
572	520	387
573	520	386
574	521	385
575	522	384
576	522	383
577	523	382
578	524	381
579	524	379
580	525	378
581	525	377
582	526	376
583	526	375
584	527	374
585	528	373
586	528	372
587	529	371
588	530	369
589	530	368
590	531	367
591	531	366
592	532	365
593	532	364
594	533	363
595	534	362
596	534	361
597	535	359
598	536	358
599	536	357
600	537	356
601	538	355
602	538	354
603	539	353
604	540	352
605	540	351
606	541	350
607	542	349
608	542	348
609	543	347
610	544	346
611	544	345
612	545	344
613	546	343
614	546	342
615	547	341
616	548	340
617	548	339
618	549	338
619	550	337
620	550	336
621	551	335
622	552	334
623	552	333
624	553	332
625	554	331
626	554	330
627	555	329
628	556	328
629	556	326
630	557	325
631	557	324
632	558	323
633	559	322
634	559	321
635	560	320
636	561	319
637	561	318
638	562	317
639	562	316
640	563	315
641	563	314
642	564	313
643	565	312
644	565	311
645	566	310
646	567	309
647	568	308
648	568	307
649	569	306
650	569	305
651	570	304
652	571	303
653	571	302
654	572	301
655	573	300
656	573	299
657	574	298
658	574	297
659	575	296
660	575	295
661	576	294
662	576	293
663	577	292
664	578	291
665	578	290
666	579	289
667	580	288
668	580	287
669	581	286
670	581	285
671	582	284
672	582	283
673	583	282
674	584	281
675	584	280
676	585	279
677	586	278
678	586	277
679	587	276
680	587	275
681	588	274
682	588	273
683	589	272
684	590	271
685	591	270
686	592	269
687	592	268
688	593	267
689	593	266
690	594	265
691	595	264
692	595	263
693	597	263
694	597	262
695	598	261
696	599	260
697	599	259
698	600	258
699	600	257
700	601	256
701	602	255
702	602	254
703	603	253
704	604	252
705	604	251
706	605	250
707	605	249
708	606	248
709	606	247
710	607	246
711	608	246
712	609	245
713	610	244
714	610	243
715	611	242
716	612	241
717	612	240
718	613	239
719	614	238
720	614	237
721	615	237
722	616	236
723	616	235
724	617	234
725	618	233
726	618	232
727	619	231
728	620	230
729	620	229
730	621	228
731	622	227
732	623	227
733	623	226
734	624	225
735	625	224
736	625	223
737	626	222
738	626	221
739	627	220
740	628	219
741	628	218
742	629	217
743	630	216
744	630	215
745	631	215
746	632	214
747	632	213
748	633	212
749	633	211
750	634	210
751	635	209
752	635	208
753	636	207
754	637	206
755	637	205
756	638	204
757	638	203
758	639	203
759	640	202
760	640	201
761	641	200
762	642	199
763	642	198
764	643	197
765	643	196
766	644	195
767	644	194
768	645	193
769	646	192
770	646	192
771	647	191
772	648	190
773	648	189
774	649	188
775	650	187
776	650	186
777	651	185
778	651	184
779	652	184
780	653	183
781	654	182
782	654	181
783	655	180
784	655	179
785	656	178
786	657	177
787	657	176
788	658	176
789	658	175
790	659	174
791	660	173
792	661	172
793	661	171
794	662	170
795	662	169
796	663	168
797	663	168
798	664	167
799	665	166
800	665	165
801	666	164
802	667	163
803	667	162
804	668	161
805	668	160
806	669	160
807	669	159
808	670	158
809	671	157
810	671	156
811	672	155
812	673	154
813	673	153
814	674	153
815	674	152
816	675	151
817	675	150
818	676	149
819	677	148
820	677	147
821	678	146
822	679	146
823	679	145
824	680	144
825	681	143
826	682	142
827	682	141
828	683	140
829	684	140
830	685	139
831	686	138
832	687	137
833	687	136
834	688	136
835	689	135
836	689	134
837	691	133
838	691	132
839	693	132
840	694	131
841	695	130
842	695	129
843	696	128
844	697	127
845	698	127
846	699	126
847	700	125
848	701	124
849	701	123
850	702	123
851	703	122
852	704	121
853	705	120
854	705	119
855	706	118
856	706	117
857	707	117
858	708	116
859	709	115
860	709	114
861	710	113
862	711	112
863	712	112
864	712	111
865	713	110
866	713	109
867	714	108
868	715	107
869	715	106
870	716	106
871	717	105
872	718	104
873	718	103
874	719	102
875	720	101
876	721	101
877	722	100
878	723	99
879	723	98
880	724	97
881	725	97
882	725	96
883	726	95
884	727	94
885	727	93
886	728	92
887	729	91
888	730	91
889	731	90
890	731	89
891	732	88
892	732	87
893	734	87
894	735	86
895	736	85
896	737	84
897	737	83
898	738	82
899	739	82
900	740	81
901	741	80
902	741	79
903	742	78
904	743	78
905	743	77
906	744	76
907	744	75
908	746	74
909	747	73
910	747	73
911	748	72
912	750	71
913	751	70
914	752	69
915	752	69
916	753	68
917	754	67
918	754	66
919	755	65
920	755	64
921	756	64
922	757	63
923	757	62
924	758	61
925	759	60
926	760	59
927	760	59
928	761	58
929	762	57
930	763	56
931	763	55
932	765	54
933	765	54
934	766	53
935	767	52
936	768	51
937	768	50
938	769	49
939	769	49
940	770	48
941	771	47
942	771	46
943	772	45
944	773	45
945	774	44
946	774	43
947	775	42
948	776	41
949	776	40
950	777	40
951	778	39
952	779	38
953	780	37
954	780	36
955	781	35
956	782	35
957	782	34
958	783	33
959	784	32
960	785	31
961	785	31
962	786	30
963	787	29
964	787	28
965	788	27
966	789	26
967	789	26
968	790	25
969	791	24
970	792	23
971	793	22
972	793	22
973	794	21
974	795	20
975	795	19
976	796	18
977	797	17
978	798	17
979	799	16
980	799	15
981	800	14
982	801	13
